Date,Open,High,Low,Close,Volume
1/17/2022,77600,77800,76900,77500,8785122
1/18/2022,77600,77800,76600,77000,9592788
1/19/2022,76500,76900,76100,76300,10598290
1/20/2022,76200,76700,75900,76500,9708168
1/21/2022,75800,75800,74700,75600,15774888
1/24/2022,75400,75800,74700,75100,13691134
1/25/2022,74800,75000,73200,74000,17766704
1/26/2022,73900,74400,73100,73300,12976730
1/27/2022,73800,74000,71300,71300,22274777
1/28/2022,71300,73700,71200,73300,21367447
02/3/2022,74900,74900,73300,73300,17744721
02/4/2022,74300,74600,73400,74000,12730034
02/7/2022,73500,73600,72400,73000,14240838
02/8/2022,73800,74200,73000,73500,11736666
02/9/2022,74300,74700,74000,74700,9699122
02/10/2022,75600,75800,74700,75400,17746033
02/11/2022,75000,75500,74600,74900,12205407
2/14/2022,74400,74500,73100,73700,13993255
2/15/2022,74100,74200,73100,73700,9320365
2/16/2022,74600,74900,74200,74800,10767386
2/17/2022,75000,75600,74500,75000,13605382
2/18/2022,74600,74800,73700,74300,10122226
2/21/2022,73200,74300,72600,74200,10489717
2/22/2022,73000,73400,72800,73400,11692469
2/23/2022,73800,73800,72800,73000,10397964
